Date,Open,High,Low,Close,Adj Close,Volume
2010-01-01,21.680000,21.680000,18.700001,19.059999,19.059999,0
2010-01-08,19.270000,19.459999,16.860001,17.629999,17.629999,0
2010-01-15,17.629999,22.299999,17.330000,22.270000,22.270000,0
2010-01-22,22.270000,28.010000,22.270000,23.730000,23.730000,0
2010-01-29,23.730000,26.320000,21.080000,26.080000,26.080000,0
2010-02-05,25.690001,29.219999,23.870001,23.959999,23.959999,0
2010-02-12,23.959999,25.540001,20.600000,20.629999,20.629999,0
2010-02-19,21.070000,22.680000,19.590000,20.100000,20.100000,0
2010-02-26,19.879999,20.530001,18.420000,18.719999,18.719999,0
2010-03-05,18.059999,19.340000,17.230000,18.059999,18.059999,0
2010-03-12,17.969999,18.780001,16.309999,16.620001,16.620001,0
2010-03-19,16.170000,18.540001,16.170000,18.400000,18.400000,0
2010-03-26,18.270000,18.690001,16.790001,17.469999,17.469999,0
2010-04-02,17.959999,18.160000,16.080000,16.480000,16.480000,0
2010-04-09,16.320000,16.770000,15.230000,15.890000,15.890000,0
2010-04-16,16.190001,19.700001,15.500000,16.469999,16.469999,0
2010-04-23,16.620001,23.200001,16.120001,18.440001,18.440001,0
2010-04-30,18.750000,40.709999,18.410000,32.799999,32.799999,0
2010-05-07,32.759998,42.150002,24.299999,26.680000,26.680000,0
2010-05-14,28.400000,46.369999,28.090000,45.790001,45.790001,0
2010-05-21,47.660000,48.200001,24.100000,29.680000,29.680000,0
2010-05-28,30.230000,35.680000,29.120001,29.459999,29.459999,0
2010-06-04,32.930000,37.380001,29.690001,30.570000,30.570000,0
2010-06-11,31.790001,31.790001,25.049999,25.049999,25.049999,0
2010-06-18,24.870001,30.270000,22.870001,29.740000,29.740000,0
2010-06-25,29.639999,37.580002,28.070000,32.860001,32.860001,0
2010-07-02,31.709999,31.879999,25.709999,25.709999,25.709999,0
2010-07-09,25.350000,27.240000,23.120001,25.139999,25.139999,0
2010-07-16,25.770000,28.160000,23.590000,24.629999,24.629999,0
2010-07-23,24.790001,25.540001,21.860001,24.129999,24.129999,0
2010-07-30,25.469999,27.320000,21.740000,22.100000,22.100000,0
2010-08-06,23.340000,27.209999,21.360001,25.730000,25.730000,0
2010-08-13,26.080000,28.100000,23.400000,26.440001,26.440001,0
2010-08-20,26.730000,28.920000,24.620001,27.370001,27.370001,0
2010-08-27,26.500000,28.110001,23.150000,23.190001,23.190001,0
2010-09-03,21.990000,23.940001,21.240000,22.809999,22.809999,0
2010-09-10,22.639999,22.870001,20.850000,21.719999,21.719999,0
2010-09-17,21.650000,24.059999,21.250000,23.870001,23.870001,0
2010-09-24,22.610001,24.520000,21.709999,23.700001,23.700001,0
2010-10-01,22.900000,24.340000,21.280001,21.559999,21.559999,0
2010-10-08,21.580000,21.639999,17.900000,19.879999,19.879999,0
2010-10-15,20.200001,21.590000,18.879999,19.270000,19.270000,0
2010-10-22,19.360001,22.370001,18.760000,20.879999,20.879999,0
2010-10-29,21.200001,22.540001,17.969999,18.520000,18.520000,0
2010-11-05,18.070000,19.959999,17.830000,18.639999,18.639999,0
2010-11-12,19.590000,23.070000,18.750000,18.750000,18.750000,0
2010-11-19,19.150000,21.450001,17.760000,19.559999,19.559999,0
2010-11-26,21.170000,23.840000,19.100000,19.389999,19.389999,0
2010-12-03,19.260000,19.280001,17.129999,17.250000,17.250000,0
2010-12-10,17.059999,18.270000,16.680000,17.389999,17.389999,0
2010-12-17,17.620001,17.639999,15.400000,16.469999,16.469999,0
2010-12-24,18.260000,18.320000,17.020000,17.520000,17.520000,0
2010-12-31,17.910000,18.240000,16.790001,17.400000,17.400000,0
2011-01-07,17.309999,18.629999,16.139999,16.389999,16.389999,0
2011-01-14,16.670000,18.850000,15.370000,17.990000,17.990000,0
2011-01-21,17.030001,18.930000,15.810000,16.150000,16.150000,0
2011-01-28,15.940000,20.080000,15.920000,16.690001,16.690001,0
2011-02-04,16.639999,17.070000,14.860000,16.090000,16.090000,0
2011-02-11,16.530001,17.299999,15.220000,16.590000,16.590000,0
2011-02-18,16.590000,23.219999,15.540000,21.320000,21.320000,0
2011-02-25,20.410000,21.139999,17.629999,18.600000,18.600000,0
2011-03-04,18.559999,22.250000,18.309999,21.879999,21.879999,0
2011-03-11,21.719999,31.280001,19.969999,26.370001,26.370001,0
2011-03-18,23.900000,24.850000,17.870001,18.000000,18.000000,0
2011-03-25,17.870001,19.780001,17.070000,17.740000,17.740000,0
2011-04-01,16.680000,17.870001,16.440001,17.110001,17.110001,0
2011-04-08,16.510000,18.459999,16.080000,16.270000,16.270000,0
2011-04-15,15.970000,19.070000,14.300000,14.690000,14.690000,0
2011-04-22,15.640000,16.420000,14.270000,14.620000,14.620000,0
2011-04-29,14.560000,19.110001,14.490000,18.200001,18.200001,0
2011-05-06,17.170000,19.290001,15.790000,16.030001,16.030001,0
2011-05-13,16.020000,19.090000,15.500000,15.520000,15.520000,0
2011-05-20,15.880000,20.030001,15.700000,16.090000,16.090000,0
2011-05-27,16.110001,18.719999,15.150000,18.090000,18.090000,0
2011-06-03,18.230000,19.870001,17.120001,17.770000,17.770000,0
2011-06-10,17.930000,24.650000,17.799999,22.730000,22.730000,0
2011-06-17,21.559999,23.080000,17.719999,19.290001,19.290001,0
2011-06-24,19.200001,21.820000,15.880000,16.520000,16.520000,0
2011-07-01,16.059999,17.080000,15.120000,15.950000,15.950000,0
2011-07-08,17.139999,21.580000,15.950000,20.799999,20.799999,0
2011-07-15,20.250000,21.930000,17.150000,17.559999,17.559999,0
2011-07-22,17.219999,23.990000,17.139999,23.740000,23.740000,0
2011-07-29,25.280001,32.070000,22.459999,31.660000,31.660000,0
2011-08-05,28.480000,48.000000,27.540001,39.000000,39.000000,0
2011-08-12,37.080002,45.279999,30.809999,42.669998,42.669998,0
2011-08-19,45.340000,45.400002,34.049999,39.759998,39.759998,0
